Book_title,Book_Author,Book_Tag,Challenged
Ink Exchange,Melissa Marr,"Fantasy, Young Adult, Paranormal, Urban Fantasy, Romance, Fairies, Fae",0
The Golden Compass,Philip Pullman,"Fantasy, Young Adult, Fiction, Childrens, Adventure, Middle Grade, Science Fiction",0
The Arctic Incident,Eoin Colfer,"Fantasy, Young Adult, Fiction, Middle Grade, Science Fiction, Childrens, Adventure",0
Daimon,Jennifer L. Armentrout,"Young Adult, Fantasy, Paranormal, Mythology, Romance, Novella, Paranormal Romance",0
Demons at Deadnight,A.  Kirk,"Paranormal, Young Adult, Fantasy, Demons, Romance, Urban Fantasy, Magic",0
Atonement,Ian McEwan,"Fiction, Historical Fiction, Classics, Romance, Historical, War, Literary Fiction",0
Deadline,Chris Crutcher,"Zombies, Horror, Science Fiction, Fiction, Dystopia, Post Apocalyptic, Young Adult",0
The House of the Scorpion,Nancy Farmer,"Young Adult, Science Fiction, Dystopia, Fiction, Fantasy, Teen, Adventure",0
The Amber Spyglass,Philip Pullman,"Fantasy, Young Adult Fiction, Childrens, Adventure, Science Fiction, Audiobook",0
Terrier,Tamora Pierce,"Fantasy, Young Adult. Fiction,  Magic, Young Adult Fantasy, Mystery,  Adventure",0
Demonglass,Rachel Hawkins,"Young Adult, Fantasy, Paranormal,  Romance, Magic, Vampires, Witches",0
The Pigman,Paul Zindel,"Young Adult, Fiction, Classics, School, Realistic Fiction, Read For School, Teen",0
The Statistical Probability of Love at First Sight,Jennifer E. Smith,"Young Adult, Romance, Contemporary, Fiction, Realistic Fiction, Chick Lit, Young Adult Contemporary",0
Through the Ever Night,Veronica Rossi,"Young Adult, Dystopia, Romance, Fantasy, Science Fiction, Post Apocalyptic. Fiction",0
Pushing the Limits,Katie McGarry,"Romance, Young Adult, Contemporary, New Adult, Contemporary Romance, High School, Realistic Fiction",0
The Westing Game,Ellen Raskin,"Mystery, Fiction, Young Adult, Middle Grade, Classics, Childrens, Mystery Thriller",0
Pure,Jennifer L. Armentrout,"Fantasy, Young Adult, Paranormal, Romance, Mythology, Paranormal Romance, Urban Fantasy",0
The Subtle Knife,Philip Pullman,"Fantasy, Young Adult, Fiction, Childrens, Adventure, Science Fiction, Audiobook",0
Queen of Babble,Meg Cabot,"Chick Lit, Romance, Fiction, Contemporary, Adult, Contemporary Romance, Young Adult",0
Partials,Dan Wells,"Young Adult, Dystopia, Science Fiction, Post Apocalyptic, Fiction, Fantasy, Romance",0
Abandon,Meg Cabot,"Young Adult, Fantasy, Mythology, Romance, Paranormal, Fiction, Paranormal Romance",0
His Kiss,Melanie Marks,"Young Adult, Romance, Contemporary, High School, Chick Lit, Young Adult Romance, Teen",0
Afterlife,Claudia Gray,"Vampires, Young Adult, Paranormal, Fantasy, Romance, Ghosts, Paranormal Romance",0
The Blue Sword,Robin McKinley,"Fantasy, Young Adult, Fiction, Romance, Adventure, Magic, Young Adult Fantasy",0
Fallen Too Far,Abbi Glines,"Romance, New Adult, Contemporary, Contemporary Romance, Young Adult, Chick Lit, Adult",0
Rapture,Lauren Kate,"Young Adult, Fantasy, Angels, Romance, Paranormal, Paranormal Romance, Supernatural",0
Wild Magic,Tamora Pierce,"Fantasy, Young Adult, Fiction, Magic, Young Adult Fantasy, Adventure, High Fantasy",0
The Tail of Emily Windsnap,Liz Kessler,"Fantasy, Middle Grade, Mermaids, Childrens, Fiction, Young Adult, Adventure",0
Gone,Michael  Grant,"Young Adult, Dystopia, Fantasy, Science Fiction, Fiction, Paranormal, Romance",0
