Author,Book,Series Name (If Title is Part of a Series),Secondary Author(s),Illustrators,Translators,Type of Challenge,Challenge Initiated By,Initial Response,Challenge Notes,Decision,Are Restrictions Applied,Restriction Details,Library Type,Month,Year,State,School District,City,County,School Name,Library Name,Police Involved,Current Book Status,Date of Data Input,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,,,,,,,,,,,,,,,,,,,
"Foer, Jonathan Safran",Extremely Loud & Incredibly Close,,,,,,,Challenged - On Shelvesion 2,,,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
"Andrews, Jesse",Me and Earl and the Dying Girl,,,,,,,Challenged - On Shelvesion 2,,,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
"Silvera, Adam",More Happy Than Not,,,,,,,Challenged - On Shelves,,,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
"Picoult, Jodi",Nineteen Minutes,,,,,,,Challenged - On Shelves,,,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
"Lockhart, E.","Real Live Boyfriends: Yes. Boyfriends, Plural. If My Life Weren't Complicated, I Wouldn't Be Ruby Oliver",,,,,,,Challenged - On Shelves,,,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
"McCafferty, Megan",Sloppy Firsts (Jessica Darling Series),,,,,,,Challenged - Location Unknown,,,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,,,"Forney, Ellen",,,,Challenged - Location Unknown,,,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
"Roy, Arundhati",The God of Small Things,,,,,,,Challenged - Location Unknown,,,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
"Hosseini, Khaled",The Kite Runner,,,,,,,Challenged - Location Unknown,,,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
"Matthieu, Jennifer",The Truth About Alice: A Novel,,,,,,,Challenged - Location Unknown,,,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
"Tamaki, Mariko",This One Summer,,"Tamaki, Jillian","Tamaki, Jillian",,,,Challenged - Location Unknown,,,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Tricks,Tricks Series,,,,,,Challenged - Location Unknown,,,,,School ,March,2023,Colorado,Greeley-Evans School District,,,,,,,,https://www.greeleyschools.org/Page/26613,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,,,,Challenged - Location Unknown,Actual Challenges from the 5400 received by school,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Katcher, Brian",Almost Perfect,,,,,,,Challenged - During Board Meeting,challenged by parent who brought 5400 challenge sheets into the board meeting,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Katcher, Brian",Almost Perfect,,,,,,,Challenged - Location Unknown,Actual Challenges from the 5400 received by school,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richardson, Justin",And Tango Makes Three,,"Parnell, Peter","Cole, Henry",,,,Challenged - During Board Meeting,challenged by parent who brought 5400 challenge sheets into the board meeting,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morrison, Toni",Beloved,,,,,,,Challenged - During Board Meeting,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morrison, Toni",Beloved,,,,,,,Challenged - Location Unknown,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Telgemeier, Raina",Drama,,,,,,,Challenged - During Board Meeting,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foer, Jonathan Safran",Extremely Loud & Incredibly Close,,,,,,,Challenged - Location Unknown,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gino, Alex",Melissa,,,,,,,Challenged - During Board Meeting,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silvera, Adam",More Happy Than Not,,,,,,,Challenged - Location Unknown,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Picoult, Jodi",Nineteen Minutes,,,,,,,Challenged - During Board Meeting,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Picoult, Jodi",Nineteen Minutes,,,,,,,Challenged - Location Unknown,,,,,School ,December,2022,Colorado,Greeley-Evans School District 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
