Author,Book,Series Name (If Title is Part of a Series),Secondary Author(s),Illustrators,Translators,Type of Challenge,Challenge Initiated By,Initial Response,Challenge Notes,Decision,Are Restrictions Applied,Restriction Details,Library Type,Month,Year,State,School District,City,County,School Name,Library Name,Police Involved,Current Book Status,Date of Data Input,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,Article Links/Evidence Links,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",Shine,,,,,,,,,Banned,,,School ,November,2022,Utah,Alpine School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stein, Garth",The Art of Racing in the Rain,,,,,,,,,Retained Restricted,Yes,,School ,November,2022,Utah,Alpine School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foley, Jessie Ann",The Carnival at Bray,,,,,,,,,Banned,,,School ,November,2022,Utah,Alpine School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Durrow, Heidi W.",The Girl Who Fell from the Sky,,,,,,,,,Retained Restricted,Yes,,School ,November,2022,Utah,Alpine School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrews, Jesse",The Haters,,,,,,,,,Banned,,,School ,November,2022,Utah,Alpine School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reed, Amy",The Nowhere Girls,,,,,,,,,Retained Restricted,Yes,,School ,November,2022,Utah,Alpine School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dawson, Juno",This Book is Gay,,,,,,,,,Banned,,,School ,November,2022,Utah,Alpine School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tamaki, Mariko",This One Summer,,"Tamaki, Jillian","Tamaki, Jillian",,,,,,Retained Restricted,Yes,,School ,November,2022,Utah,Alpine School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Tilt,,,,,,,,,Banned,,,School ,November,2022,Utah,Alpine School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",ttfn,,,,,,,,,Retained Restricted,Yes,,School ,November,2022,Utah,Alpine School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",ttyl,,,,,,,,,Banned,,,School ,November,2022,Utah,Alpine School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",Twisted,,,,,,,,,Retained Restricted,Yes,,School ,November,2022,Utah,Alpine School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hutchinson, Shaun David",We Are the Ants,,,,,,,,,Retained Restricted,Yes,,School ,November,2022,Utah,Alpine School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",What Girls Are Made Of,,,,,,,,,Banned,,,School ,November,2022,Utah,Alpine School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jennings, Jazz",I am Jazz,,"Herthel, Jessica","McNicholas, Shelagh",,Formal Challenge,Parent,Challenged - Location Unknown,Parent withdrew challenge - district continued,Banned,Yes,Removed All Elementary Schools,School ,March,2023,Utah,Ogden School District,,,,,No,Removed From Shelves,4/7/23,https://www.standard.net/news/education/2023/mar/30/ogden-school-officials-pull-2-books-dealing-with-lgbtq-issues-off-shelves/,,,,,,,,,,,,,,,,,,,,,,
"Love, Jessica",Julián Is a Mermaid,,,,,Formal Challenge,Parent,Challenged - Location Unknown,Parent withdrew challenge - district continued,Retained,No,,School ,March,2023,Utah,Ogden School District,,,,,No,Removed From Shelves,4/7/23,https://www.standard.net/news/education/2023/mar/30/ogden-school-officials-pull-2-books-dealing-with-lgbtq-issues-off-shelves/,,,,,,,,,,,,,,,,,,,,,,
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,,,"Salerno, Steven",,Formal Challenge,Parent,Challenged - Location Unknown,Parent withdrew challenge - district continued,Banned,Yes,Removed All Elementary Schools,School ,March,2023,Utah,Ogden School District,,,,,No,Removed From Shelves,4/7/23,https://www.standard.net/news/education/2023/mar/30/ogden-school-officials-pull-2-books-dealing-with-lgbtq-issues-off-shelves/,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A Court of Frost and Starlight,A Court of Thorns and Roses,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A ​Court of Silver Flames,A Court of Thorns and Roses,,,,,,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A Court of Thorns and Roses,A Court of Thorns and Roses,,,,,,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A Court of Wings and Ruin,A Court of Thorns and Roses,,,,,,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nietfeld, Emi",Acceptance,,,,,,,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Niven, Jennifer",Breathless,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heller, Joseph",Catch 22,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",Damsel,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"García, Cristina",Dreaming in Cuban,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Fallout,Crank Series,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blume, Judy",Forever...,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, John",Looking for Alaska,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Horan, Nancy",Loving Frank: A Novel,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seabold, Alice",Lucky,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCarthy, Cory",Man o' War,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaur, Rupi",Milk and Honey,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norton, Preston",Neanderthal Opens the Door to the Universe,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Picoult, Jodi",Nineteen Minutes,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atwood, Margaret",Oryx & Crake,The MaddAddam Series,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",People Kill People,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yang, Kelly",Private Label,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapphire,Push,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",Red Hood,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",Shine,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"See, Lisa",Snow Flower and the Secret Fan: A Novel,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCormick, Patricia",Sold,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stein, Garth",The Art of Racing in the Rain,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morrison, Toni",The Bluest Eye,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foley, Jessie Ann",The Carnival at Bray,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saunders, Barbara",The Cost of Knowing,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atwood, Margaret",The Handmaid's Tale,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,,,"Nault, Renee",,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrews, Jesse",The Haters,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chbosky, Stephen",The Perks of Being a Wallflower,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dawson, Juno",This Book is Gay,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Tilt,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Triangles,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Tricks,Tricks Series,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",What Girls Are Made Of,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norton, Preston",Where I End and You Begin,,,,,,,,,Banned,,,School ,November,2022,Utah,Washington County School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boelts, Maribeth",A Bike Like Sergios,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,Fauquier County parents clash over book censorship,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",A Boy Called Bat,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,Fauquier County parents clash over book censorship,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A Court of Mist and Fury,A Court of Thorns and Roses,,,,,,Challenged - On Shelves,"Submitted by Moms for Liberty - due to be reviewed in 8/2022
9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,Moms for Liberty Says it has paused all challneges against sexually expolicit books while school board updates policies,,,,,,,,,,,,,,,,,,,,,
"Maas, Sarah J.",A Court of Thorns and Roses,A Court of Thorns and Roses,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,,,,,,,,,,,,,,,,,
"Gulliani, Maddie",A Quick and Easy Guide to Queer Indentities,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,,,,,,,,,,,,,,,,,,
"Jonsberg, Barry",A Song Only I Can Hear,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,,,,,,,,,,,,,,,,,,
"Bryant, Jennifer",A Splash of Red: The Life and Art of Horace Pippin,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,,,,,,,,,,,,,,,,,,
"Àbíké-Íyímídé, Faridah",Ace of Spades,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,,,,,,,,,,,,,,,,,,
"Brugman, Alyssa",Alex as Well,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,,,,,,,,,,,,,,,,,,
"Katcher, Brian",Almost Perfect,,,,,,,Challenged - On Shelves,"Submitted by Moms for Liberty - due to be reviewed in 8/2022 - 9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Namioka, Lensey","An Ocean Apart, A World Away",,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,,,,,,,,,,,,,,,,,,
"Sass, A. J.",Ana on the Edge,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,,,,,,,,,,,,,,,,,,
"Bors, Matt","Be Gay, Do Comics: Queer History, Memoir, and Satire",,The Nib,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodriquez, Richard",Brown: The last Discovery of America,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benioff, David",City of Thieves,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stone, Jeff",Crane,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",Crank (Crank Series),,,,,,,Challenged - On Shelves,"9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stassen, Jean-Philippe",Deogratias: A Tale of Rwanda,,,,,,,Challenged - On Shelves,,,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stevens, Courtney",Dress Codes for Small Towns,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rowell, Rainbow",Eleanor & Park,,,,,,,Challenged - On Shelves,"9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McMann, Lisa",Fade,Wake Series,,,,,,Challenged - On Shelves,"9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reeve, Philip",Fever Crumb,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Curato, Mike",Flamer,,,,,,,Challenged - On Shelves,"9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Curato, Mike",Flamer,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bechdel, Alison",Fun Home: A Family Tragicomic,,,,,,,Challenged - On Shelves,"9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bechdel, Alison",Fun Home: A Family Tragicomic,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Winfield, Cynthia",Gender Identity: The Ultimate Teen Guide,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Girard, M-E",Girl Mans Up,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alger, Christina",Girls Like Us,,,,,,,Challenged - On Shelves,"9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Giles, Gail",Girls Like Us,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smith, Andrew",Grasshopper Jungle,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Herthel, Jessica and Jazz Jennings",I am Jazz,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,,,,,,,,,,,,,,,,,,
"Gowen, Kris",Image and Identity: Becoming the Person you are,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,,,,,,,,,,,,,,,,,,
"van Rijckeghem, Jean-Claude","Ironhead or, One a Young Lady",,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,,,,,,,,,,,,,,,,,,
"Lo, Malinda",Last Night at the Telegraph Club,,,,,,,Challenged - On Shelves,"9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lo, Malinda",Last Night at the Telegraph Club,,,,,Targeted During Board Meeting,Group,Unknown,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garber, Romina",Lobizona: A Novel,,,,,Targeted During Board Meeting,Group,Unknown,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, John",Looking for Alaska,,,,,,,Challenged - On Shelves,"9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaur, Rupi",Milk and Honey,,,,,,,Challenged - On Shelves,"9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Silvera, Adam",More Happy Than Not,,,,,Targeted During Board Meeting,Group,Unknown,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Picoult, Jodi",Nineteen Minutes,,,,,,,Challenged - On Shelves,"9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hashimi, Nadia",One Half from the East,,,,,Targeted During Board Meeting,Group,Unknown,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,,,Challenged - On Shelves,"9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Murphy, Julie",Ramona Blue,,,,,Targeted During Board Meeting,Group,Unknown,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hill, Katie Rain",Rethinking Normal: A Memoir in Transition,,,,,Targeted During Board Meeting,Group,Unknown,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gino, Alex",Rick,,,,,Targeted During Board Meeting,Group,Unknown,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miller, Linsey",Ruin of Stars,,,,,Targeted During Board Meeting,Group,Unknown,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Slim, Tara",Scavenge the Stars,,,,,Targeted During Board Meeting,Group,Unknown,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gottlieb, Iris",Seeing Gender: An Illustrated Guide to Identity and Expression,,,,,,,Challenged - On Shelves,"9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ronson, Jon",So You've Been Publicly Shamed,,,,,Targeted During Board Meeting,Group,Unknown,Moms for Liberty says it has paused all challenges against sexually expolicit books while school board updates policies.,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCormick, Patricia",Sold,,,,,,,Challenged - On Shelves,"9/2022Paused - while school division fixes the ""problems in their book selection and contestation processes.""",,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smith, Niki",The Deep & Dark Blue,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levithan, David and Bill Merrell","The Full Spectrum: A new generation of writing about gay, lesbian, bisexual, transgender questions and other identities",,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Landman, Tanya",The Goldsmith's Daughter,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stanley, Stan",The Hazards of Love,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hosseini, Khaled",The Kite Runner,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tokuda-Hall, Maggie","The Mermaid, The Witch and the Sea",,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bell, Alex",The Polar Bear Explorers' Club,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tamaki, Mariko",This One Summer,,"Tamaki, Jillian","Tamaki, Jillian",,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hutchinson, Shaun David",We Are the Ants,,,,,Targeted During Board Meeting,Group,Unknown,,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",What Girls Are Made Of,,,,,,,Challenged - On Shelves,Activist group Moms for Liberty submits 14 more books for removal in Fauquier County Public Schools,,,,School ,August,2022,Virginia,Fauquier County Schools,,,,,,,,Moms for Liberty Says it has paused all challneges against sexually expolicit books while school board updates policies,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",What Girls Are Made Of,,,,,Targeted During Board Meeting,Group,Unknown,Fauquier County parents clash over book censorship,,,,School ,July,2022,Virginia,Fauquier County Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
