Book_Author,Book_Title,Book_Tag,Challenge
Amy Lukavics,Nightingale,"Horror, Young Adult, Historical Fiction, Fiction, Historical, Science, LGBT",1
Amy R. Carpenter,"Be Strong, Be Wise: The Young Adult’s Guide to Sexual Assault Awareness and Personal Safety",,1
Amy Reed,Beautiful,"Young Adult, Contemporary, Realistic Fiction, Fiction, Abuse, Romance, Teen",1
Amy Reed,The Boy and Girl Who Broke the World,"Young Adult, Contemporary, Fantasy, Fiction, Magical Realism, Romance, Coming of Age",1
Amy Reed,The Nowhere Girls,"Young Adult, Contemporary, Feminism, LGBT, Fiction, Young Adult Contemporary, Realistic Fiction",1
Amy Spalding,The Summer of Jordi Perez (And the Best Burger in Los Angeles),"Young Adult, LGBT, Romance, Contemporary, Queer, Fiction, Audiobook",1
Amy Spalding,We Used to Be Friends,"Young Adult, Contemporary, LGBT, Fiction, Romance, Lesbian, Queer",1
Anastasia Higginbotham,Not My Idea: A Book About Whiteness,"Picture Books, Nonfiction, Childrens, Social Justice, Race, Anti Racist, Activism",1
Anastasia Higginbotham,Not My Idea: A Book About Whiteness,"Picture Books, Nonfiction, Childrens, Social Justice, Race, Anti Racist, Activism",1
Andre Aciman,Call Me By Your Name,"Romance, Fiction, LGBT, Contemporary, Queer, Audiobook, Gay",1
Andrea Beaty,"Sofia Valdez, Future Prez","Picture Books, Childrens, Fiction, Activism, Politics, Realistic Fiction, Cultural",1
Andrea Cheng,"Etched in Clay: The Life of Dave, Enslaved Potter and Poet","Biography, Poetry, Nonfiction, History, Cultural, Middle Grade, Art",1
Andrea Cheng,The Year of the Book,"Middle Grade, Childrens, Fiction, Realistic, Fiction, Cultural, Family, Books about Books",1
Andrea Cremer,Rift,"Fantasy, Young Adult, Paranormal, Romance, Magic, Werewolves, Supernatural",1
Andrea Davis-Pinkney,Duke: Ellington: The Piano Prince and His Orchestra,"Music, Picture Books, Biography, Nonfiction, Childrens, African American, History",1
Andrea Davis-Pinkney,Fishing Day,"Picture Books, Historical Fiction, Childrens, African American",1
Andrea Mosqueda,Just Your Local Bisexual Disaster,"LGBT, Romance, Young Adult, Contemporary, Queer, Lesbian, Fiction",1
Andrea Pelleschi,Transgender Rights and Issues,,1
Andres Miedoso,"Desmond Cole, Ghost Patrol: The Haunted House Next Door","Middle Grade, Childrens, Fiction, Fantasy, Ghosts, Chapter Books, Paranormal",1
Andrew Clements,Extra Credit,"Realistic Fiction, Middle Grade, Fiction, Childrens, School, Juvenile, Cultural",1
Andrew Clements,Extra Credit,"Realistic Fiction, Middle Grade, Fiction, Childrens, School, Juvenile, Cultural",1
Andrew P. Smiler,Dating and Sex: A Guide for the 21st Century Teen Boy,"Parenting, Nonfiction, Sexuality",1
Andrew Smith,Grasshopper Jungle,"Young Adult, Science Fiction, LGBT, Fiction, Horror, Humor, Fantasy",1
Andrew Smith,Stick,"Young Adult, LGBT, Realistic Fiction, Fiction, Contemporary, Coming of Age, Abuse",1
Andrew Solomon,Far from the Tree: How Children and Their Parents Learn to Accept One Another . . . Our Differences Unite Us,"Nonfiction, LGBT, Disability, Family, Autistic Spectrum, Disorder",1
Andrew Winegarner,Gilgamesh: A Graphic Novel,"Graphic Novels, Comics, History, Mythology",1
Andy Dougan,Robin Williams: A Biography,"Nonfiction, Biography, Biography Memoir, Humor",1
Andy Koopmans,The History of the Blues,,1
Angela Cervantes,"Gaby, Lost and Found","Middle Grade, Realistic Fiction, Animals, Contemporary, Childrens, Family, Fiction",1
Angela DiTerlizzi,The Magical Yet,"Picture Books, Childrens, Growth Mindset, Inspirational, Storytime, Fiction, Fantasy",1
Angela Dominguez,Stella Diaz Has Something to say,"Middle Grade, Realistic Fiction, Childrens, Fiction, Chapter Books, School, Juvenile",1
Angela Johnson,Sweet Smell of Roses,"Picture Books, Historical Fiction, Childrens, African American, Cultural, Historical, Fiction",1
