Book_Author,Book_Title,Series_Name,Book_Co_Author,Illustrators,Translators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Sch_Dist,City,County,Sch_Name,Lib_Name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4
"Russo, Meredith",Birthday: A Novel,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Russo, Meredith",Birthday: A Novel,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Russo, Meredith",Birthday: A Novel,,,,,Formal Challenge,Group,Challenged - On Shelves,,Unknown,,,School ,,,Texas,Prosper ISD,,,,,Unknown,,,,,,
"Volponi, Paul",Black and White,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,was challenged again and continues to remain restricted,Retained Restricted,,,School ,,,New Jersey,Lower Township Elementary,,,,,Unknown,,,,,,
"Rhodes, Jewell Parker","Black Brother, Black Brother",,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,4/7/22 parent emails principal to complain that they object to the book being accessible to students in library to the point that their child was able to use it for a library assignment. Parent was also upset that the librarian told the student that the book was not racist towards white people,Unknown,,,School ,,,Florida,Clay County District Schools,,,,,Unknown,,,,,,
"Zoboi, Ibi",Black Enough,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,Status Change: 2/28/22,Retained Restricted,,High School Only,School ,,,Florida,Indian River County Schools ,,,,,Unknown,,,,,,
"Joseph, Frederick",Black Friend: On Being a Better White Person,,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,RETAINED HS ONLY (7/2022),Retained Restricted,Yes,Requires parent permission,School ,,,Mississippi,Madison County Schools,,,,,Unknown,,,,,,
"Brown, Echo",Black Girl Unlimited: The Remarkable Story of A Teenage Wizard,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,Status Change: 2/28/22,Retained Restricted,,High School Only,School ,,,Florida,Indian River County Schools ,,,,,Unknown,,,,,,
"Brown, Echo",Black Girl Unlimited: The Remarkable Story of A Teenage Wizard,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Missouri,Lindbergh School District,,,,,Unknown,,,,,,
"Brown, Echo",Black Girl Unlimited: The Remarkable Story of A Teenage Wizard,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,"in all cases, the complaintant requested the book be REMOVED",Retained Restricted,Yes,No longer visible on library shelves and can only be checked out wiht parent permission,School ,,,Missouri,Nixa Public Schools,,,,,Unknown,,,,,,
"Brown, Echo",Black Girl Unlimited: The Remarkable Story of A Teenage Wizard,,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Missouri,St. Louis Region Schools,,,,,Unknown,,,,,,
"Brown, Echo",Black Girl Unlimited: The Remarkable Story of A Teenage Wizard,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Hilstrom, Laurie",Black Lives Matter,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"Brooks, Kevin",Black Rabbit Summer,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter","""Lost""",,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,,,,,,
"Brooks, Kevin",Black Rabbit summer,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Sowell, Thomas",Black Rednecks and White Liberals,,,,,Targeted During Board Meeting,Parent,Challenged - On Shelves,No formal complaint filed - District not acting - parents still want action however and continue to ask at board meetings,Unknown,,,School ,,,Wyoming,Natrona County,,,,,Unknown,,,,,,
"Mcillwain, Carlton D","Black Software: The Internet & Racial Justice, from the AfroNet to Black Lives Matter",,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"London, Alex",Black Wings Beating (Skybound Series),,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"McLemore, Anna-Marie",Blanca & Roja,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,ONE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Thompson, Craig",Blankets,,,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,Yes,Complaints only in board meeting,School ,,,Florida,Hillsborough,,,,,Unknown,,,,,,
"Thompson, Craig",Blankets,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Banned,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,,,,,,
"Thompson, Craig",Blankets,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Michigan,Gladwin Community Schools,,,,,Unknown,,,,,,
"Thompson, Craig",Blankets,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,"in all cases, the complaintant requested the book be REMOVED",Retained Restricted,Yes,No longer visible on library shelves and can only be checked out wiht parent permission,School ,,,Missouri,Nixa Public Schools,,,,,Unknown,,,,,,
"Thompson, Craig",Blankets,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Draper, Sharon M",Blended,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"Draper, Sharon M",Blended,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,Part of special library committee review outside of policy,Unknown,,,School ,,,Tennessee,Hamilton County Schools,,,,,Unknown,,,,,,
"Draper, Sharon M",Blended,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,middle School,Retained,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Draper, Sharon M",Blended,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained,,ELEMENTARY SCHOOL,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Anaya, Rudolfo",Bless Me Ultima,,,,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",Unknown,,,School ,October,2021,Oklahoma,Bristow Public Schools,,,,,Unknown,,,,,,
"Gonzalex, Mike",BLM: The Making of a New Marxist Revolution,,,,,Targeted During Board Meeting,Parent,Challenged - On Shelves,No formal complaint filed - District not acting - parents still want action however and continue to ask at board meetings,Unknown,,,School ,,,Wyoming,Natrona County,,,,,Unknown,,,,,,
"McAdam, Tash",Blood sport,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"McCullough, Joy",Blood Water Paint,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"Panetta, Kevin",Bloom,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Maison, Corey",Bloom and Identity: A Story of Transitioning,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Nebraska,Wauneta-Palisade Schools,,,,,Unknown,,,,,,
Kaito,"Blue Flag, Vol. 1 (Blue Flag Series)",,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
Kaito,"Blue Flag, Vol. 2 (Blue Flag Series)",,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
Kaito,"Blue Flag, Vol. 3 (Blue Flag Series)",,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
Kaito,"Blue Flag, Vol. 4 (Blue Flag Series)",,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
Kaito,"Blue Flag, Vol. 5 (Blue Flag Series)",,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
Kaito,"Blue Flag, Vol. 6 (Blue Flag Series)",,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
