Book_Author,Book_Title,Series_Name,Book_Co_Author,Illustrators,Translators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,State,Sch_Dist,City,County,Sch_Name,Lib_Name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4
"Steinbeck, John",Of Mice and Men,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,"Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",Retained Restricted,,"Retained - AP Classes
Banned - HIgh School Libraries",School ,October,2021,Oklahoma,Bristow Public Schools,,,,,Unknown,,,,,,
"Steinbeck, JOhn",Of Mice and Men,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Removed - Curriculum,,Removed from general circulum - will become AP liberature circle - available in library,School ,,,Texas,Birdville,,,,,Unknown,,,,,,
"Walden, Tillie",On a Sunbeam (On a Sunbeam Series),,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Kennison, Louise","On the Bright Side, I'm not the Girlfriend of a Sex God",,,,,Formal Challenge,Group,Challenged - On Shelves,,Unknown,,,School ,,,Texas,Denton,,,,,Unknown,,,,,,
"Rennison, Louise","On the Bright Side, I'm Now the GIrlfriend of a Sex God",,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Michigan,Gladwin Community Schools,,,,,Unknown,,,,,,
,On the Bright Side: I'm now a girlfriend of a sex god,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Nevada,Clark County School District,,,,,Unknown,,,,,,
"Thomas, Angie",On the Come Up,,,,,Formal Challenge,Administration,Challenged - Removed While Under Review,Fall 2021,Unknown,,,School ,,,Tennessee,Hamilton County Schools,,,,,Unknown,,,,,,
"Thomas, Angie",On the Come Up,,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Tennessee,,,,,,Unknown,,,,,,
"Weyer, Hannah","On the come up : a novel,
 based on a true story",,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Mckesson, DeRay",On the Other Side of Freedom: The Case for Hope,,,,,Administrative Review,Administration,Challenged - Location Unknown,Not rated,Unknown,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Capetta, Amy Rose",Once & Future,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Bunting, Eve",One Green Apple,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,,Unknown,,,School ,January,2022,Florida,Duval County Public Schools,,,,,Unknown,,,,,,
"Hashimi, Nadia",One half from the east,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Hashimi, Nadia",One Half from the East,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Virginia,Fauquier County Public Schools,,,,,Unknown,,,,,,
"Young, Cathy",One Hot Second: Stories About Desire,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,rermoved while under review,Retained Restricted,Yes,Maybe formal challenge filed? ,School ,,,Texas,Fredericksburg ISD,,,,,Unknown,,,,,,
"Barakiva, Michael",One man guy,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Sones, Sonya","One of those hideous
 books where the mother
 dies",,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Sones, Sonya",One of those Hideous Books Where the Mother Dies,,,,,Informal Challenge,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Retained,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,Returned to Shelves MARCH 2022,,,,,
"Hitchcock,
 Shannon",One true way,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Hitchcock, Shannon",One True Way,,,,,Formal Challenge,Group,Challenged - On Shelves,Complaint Filed - status unclear,Unknown,,,School ,,,Texas,Prosper ISD,,,,,Unknown,,,,,,
"Konigsberg, Bill",Openly Straight,,,,,Informal Challenge,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Retained,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,Returned to Shelves MARCH 2022,,,,,
"Konigsberg, Bill",Openly straight,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Nielsen, Susin",Optimists Die First,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Nielsen, Susin",Optimists Die First,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Middle School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Grimes, Nikki","Ordinary Hazards: A
 Memoir",,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Grimes, Nikki",Ordinary Hazards: A Memoir,,,,,Informal Challenge,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Retained,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,Returned to Shelves MARCH 2022,,,,,
"Grimes, Nikki",Ordinary Hazards: A Memoir,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained,,,School ,,,Texas,Leander,,,,,Unknown,,,20.21 Leander Curr Review RESULTs for 21.22,,,
"Wyeth, Sharon
 Dennis",Orphea Proud,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Ralli, Jessica and Megan Madison",OUR SKIN: A FIRST CONVERSATION ABOUT RACE,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,retained - restricted,Retained Restricted,,,School ,,,New Jersey,Westfield,,,,,Unknown,,,,,,
"Madison, Megan, JEssica Ralli and Isabel Roxas",Our Skin: A FIRST CONVERSATION ABOUT RACE,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,North Carolina,Wake County,,,,,Unknown,,,,,,
"Mitchell, Saundra",Out Now: Queer We Go Again!,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,TWO,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,Informal Challenge,Administration,Challenged - Removed While Under Review,in quarentine - List 4,Unknown,,,School ,,,Florida,Brevard County Public Schools,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,Targeted During Board Meeting,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Florida,Hillsborough,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of DARKNESS,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,Targeted During Board Meeting,Administration,Challenged - Location Unknown,4/22 - Superintendent asked staff to pull from library,Unknown,,,School ,,,Florida,Osceola,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,"committee recommended further review, not immediate censorship",Banned,,,School ,,,Idaho,Nampa School District,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained,,,School ,,,Illinois,Harlem School District 122,,,,,Unknown,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School Library,Retained Restricted,Yes,School board requires parental consent,School ,,,Indiana,Middlebury Community Schools,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of DARKNESS,,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,RESTRICT WITH PERMISSION HS (7/2022),Retained Restricted,Yes,Requires parent permission,School ,,,Mississippi,Madison County Schools,,,,,Unknown,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Missouri,Lindbergh School District,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,"in all cases, the complaintant requested the book be REMOVED",Unknown,,,School ,,,Missouri,Nixa Public Schools,,,,,Unknown,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Missouri,St. Louis Region Schools,,,,,Unknown,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Missouri,,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of DARKNESS,,,,,Formal Challenge,Parent,Challenged - Removed While Under Review,Books were taken from the MS and HS for members of the committee to read - but were not made unavailable.,Unknown,,,School ,,,New York,Yorktown Central School District,,,Yorktown High School,,Unknown,,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,Probably on shelves,Unknown,,,School ,March,2022,North Carolina,Catawba County Schools,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School ,,,North Carolina,Dare County Schools,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of DARKNESS,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,After Complaint,Removed,,,School ,,,North Carolina,Moore County Schools,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School ,,,North Carolina,New Hanover County Schools,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out OF DARKNESS,,,,,Formal Challenge,Parent,Challenged - Location Unknown,Challenged up to Board level by parent - retained,Retained,,,School ,,,North Carolina,Orange County Schools,,,,,Unknown,,,,,,
"Hope, Ashley Perez",Out OF DARKNESS,,,,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,removed while under review in october - RETAINED by 1/2022,Retained,,,School ,,,North Carolina,Orange County Schools,,,,,Unknown,,,,,,
"PErez, Ashley Hope",oUT OF DARKNESS,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained,,,School ,,,North Carolina,Wake County,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Oklahoma,Stillwater Public Schools,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Pennsylvania,Keystone School District,,,,,Unknown,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,,,,,Administrative Review,Administration,Challenged - Location Unknown,unclear status as no complaint was followed,Unknown,,,School ,,,Texas,Bastrop,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of Darkness,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Texas,Birdville,,,,,Unknown,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,High School,Still in Process,,,School ,March,2021,Texas,Eanes,,,,,Unknown,,,,,,
"Pérez, Ashley Hope",Out of Darkness,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,rermoved while under review,Retained Restricted,Yes,Maybe formal challenge filed? ,School ,,,Texas,Fredericksburg ISD,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of DARKNESS,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Permanently banned,Banned,,,School ,,,Texas,Katy,,,,,Unknown,,,Books that have been banned in texas,,,
"Pérez, Ashley Hope",Out of Darkness,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Texas,Klein ISD,,,,,Unknown,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Banned,,removed from reading clubs and classroom libraries permanently,School ,,,Texas,Lake Travis,,,,,Unknown,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Banned,,removed from reading clubs and classroom libraries permanently,School ,,,Texas,Leander,,,,,Unknown,,,20.21 Leander Curr Review RESULTs for 21.22,,,
"Perez, Ashley Hope",Out of Darkness,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Texas,Ponder,,,,,Unknown,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Texas,Round Rock,,,,,Unknown,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Banned,,,School ,,,Utah,Washington County,,,,,Unknown,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,probably on shelves,Unknown,,,School ,,,Virginia,Fauquier County Public Schools,,,,,Unknown,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,,,,,Formal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,Removed while under review,Retained Restricted,Yes,8,School ,,,Virginia,Henrico County Public Schools,,,,,Unknown,,,,,,
"Perez, Ashley Hope",OUT OF DARKNESS,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Virginia,Isle of Wright county,,,,,Unknown,,,,,,
"Perez, Ashley Hope",Out of DARKNESS,,,,,Formal Challenge,Affiliation Unknown,Challenged - On Shelves,"Retained - but challenged to Board, review in process",Retained,,,School ,,,Virginia,Spotslyvania County,,,,,Unknown,,,,,,
"Sepetys, Ruta",Out of the Easy,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"Gabaldon, Diana",Outlander,,,,,Administrative Review,Administration,Challenged - Location Unknown,Actually removed,Removed,,,School ,,,Florida,Walton County School District,,,,,Unknown,,,,,,
,Outlander,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Committee recommends no change and all resources/books should remain in the library,Unknown,,,School ,,,Pennsylvania,Littlestown Area School District,,,,,Unknown,,,,,,
"Gabaldon, Diana",Outlander,,,,,Response to Law,Affiliation Unknown,Challenged - Removed While Under Review,,Retained Restricted,Yes,were removed from shelves - accessible by parent permission,School ,,,Pennsylvania,Pleasant Valley School District,,,,,Unknown,,,,,,
"Draper, Sharon",Panic,,,,,Informal Challenge,Affiliation Unknown,Challenged - On Shelves,,Unknown,,,School ,,,Virginia,New Kent Middle School,,,,,Unknown,,,Book Riot News Oct 22 2021,,,
"Clarke, Cat",Pants project,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Wittlinger, Ellen",Parrotfish,,,,,Unclear,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,New Jersey,North Hunterton,,,,,Unknown,,,,,,
"Wittlinger, Ellen",Parrotfish,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Hutchinson, Shaun David","Past and Other Things that Should Stay Buried, The",,,,,Informal Challenge,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Retained,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,Returned to Shelves MARCH 2022,,,,,
"Knowles, Johanna",Pearl,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Chbosky, Stephen",Peks of Being a Wallflower,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,"committee recommended further review, not immediate censorship",Banned,,,School ,,,Idaho,Nampa School District,,,,,Unknown,,,,,,
"Hopkins, Ellen",People Kill People,,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,,Unknown,,,School ,,,Florida,Brevard County Public Schools,,,,,Unknown,,,LIst 4,,,
"Hopkins, Ellen",People Kill People,,,,,Formal Challenge,Group,Challenged - On Shelves,,Banned,,,School ,,,Texas,Prosper ISD,,,,,Unknown,,,,,,
"Hopkins, Ellen",Perfect,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Yes,M4L FILED SHERIFF - returned to shelves 5/2022,,,,,
"Hopkins, Ellen",Perfect,,,,,Administrative Review,Administration,Challenged - Location Unknown,2022-23 school year,Retained Restricted,Yes,recommended for removal - individual book status left to principals,School ,,,Florida,Pinellas School District,,,,,Unknown,,,,,,
,Perfect,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Committee recommends no change and all resources/books should remain in the library,Unknown,,,School ,,,Pennsylvania,Littlestown Area School District,,,,,Unknown,,,,,,
"Hopkins, Ellen",Perfect,,,,,Formal Challenge,Group,Challenged - On Shelves,,Banned,,,School ,,,Texas,Prosper ISD,,,,,Unknown,,,,,,
"Elkeles, Simone",Perfect Chemistry,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,Status Change: 2/28/22,Unknown,,,School ,,,Florida,Indian River County Schools ,,,,,Unknown,RETURNED - FL as 5/2022,,,,,
"Elkeles, Simone",Perfect Chemistry,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,RETAINED 4/26/22,Retained Restricted,,REstricted to high school,School ,February,2022,Georgia,Cherokee County School District,,,,,Unknown,,,,,,
"Gonzales, Sophie",Perfect on Paper,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Mesrobian, Carrie",Perfectly Good White Boy,,,,,Unclear,Affiliation Unknown,Challenged - Removed While Under Review,rermoved while under review,Retained Restricted,Yes,Maybe formal challenge filed? ,School ,,,Texas,Fredericksburg ISD,,,,,Unknown,,,,,,
"Percival, Tom",Perfectly Normal,,,,,Formal Challenge,Group,Challenged - On Shelves,Complaint Filed - status unclear,Unknown,,,School ,,,Texas,Prosper ISD,,,,,Unknown,,,,,,
"Satrapi, Marjane",Persepolis,,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,"Pulled from curriculum while under review

Returned to class approved list as of 4/2022",Retained,,,School ,,,Pennsylvania,Franklin Regional School District,,,,,Unknown,,,"Non Profit Calls Research into recent US book Bans shocking as Frankling Regional Parents express Support for Restrictions, Warnings",,,
"Satrapi, Marjane",Persepolis: The Story of a Childhood,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,Yes,"Restricted from Middle, Retained in High School",School ,,,Texas,Katy ISD,,,,,Unknown,,,,,,
"Emezi, Akwaeke",Pet,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Barrie, James Matthew",Peter Pan,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,Part of special library committee review outside of policy,Unknown,,,School ,,,Tennessee,Hamilton County Schools,,,,,Unknown,,,,,,
"Watson, Renee",Piecing Me Together,,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,RETAINED (7/2022),Retained Restricted,Yes,Requires parent permission,School ,,,Mississippi,Madison County Schools,,,,,Unknown,,,,,,
"Wilkinson, Lili",Pink,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Wilke, Daria",Playing a Part,,,,,Informal Challenge,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Retained,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,Returned to Shelves MARCH 2022,,,,,
"Bildner, Phil",Playing the field : a novel,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"PhD Harris, Duchess and Myra Faye Turner ",Political Resistence in the Current Age,,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School ,,,Texas,Klein ISD,,,,,Unknown,,,,,,
"Stevenson, Robin","Pride : celebrating diversity
 & community",,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Sanders, Rob","Pride : the story of Harvey
 Milk and the Rainbow Flag",,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Stevenson, Robin",Pride: Celebrating Diversity & Community,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,THREE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
"Stevenson, Robin",Pride: Celebrating Diversity & Community,,,,,Formal Challenge,Group,Challenged - On Shelves,Complaint Filed - status unclear,Unknown,,,School ,,,Texas,Prosper ISD,,,,,Unknown,,,,,,
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Unknown,,,School ,,,Idaho,Bonneville Joint School District No 93,,,,,Unknown,,,,,,
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,,,,,Response to Law,Affiliation Unknown,Challenged - Location Unknown,and MANY more,Unknown,,,School ,September,2021,Pennsylvania,Central York,,,,,Unknown,,,,,,
,Prince & Knight,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,unclear if these are the two books that the complaint was about ... but,Unknown,,,School ,,,Louisiana,Bossier Parish Schools,,,,,Unknown,,,,,,
"I'Neill, K",Princess Princess Every After,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained Restricted,Yes,Restricted from Elementary - Retained in middle school,School ,,,Texas,Katy ISD,,,,,Unknown,,,,,,
"Helms, Rhonda",Promposal,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Patterson,
 Richard North","Protect and defend : a
 novel",,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"London, Alex",Proxy,,,,,Informal Challenge,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Retained,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,Returned to Shelves MARCH 2022,,,,,
"London, Alex",Proxy,,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Talley, Robin",Pulp,,,,,Administrative Review,Administration,Challenged - Removed While Under Review,FOUR,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
Sapphire,Push,,,,,Informal Challenge,Affiliation Unknown,Challenged - Location Unknown,removed 1/2 schools no ebook,Banned,,,School ,,,Florida,Brevard County Public Schools,,,,,Unknown,,,Brevard Cty M4L Site Stating They Are On Quarentine,,,
Sapphire,Push,,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,removed middle school,Banned,,,School ,August,2022,Michigan,Davison Community Schools,,,,,Unknown,,,,,,
Sapphire,PUSH,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,Still on shelves - BUT political pressure,Unknown,,,School ,,,Pennsylvania,Cumberland Valley School District,,,,,Unknown,,,,,,
,Pushing Up the Sky: Native American Plays for Children,,,,,Formal Challenge,Group,Challenged - Location Unknown,Challenge (includes a challenge to the larger ELA curriculum) - Committee recommended continued use,Retained,,Fourth Grade,School ,,,Tennessee,Williamson County Schools,,,,,Unknown,,,,,,
"Wright, Bil","Putting makeup on the fat
 boy",,,,,Response to Law,Administration,Challenged - Removed While Under Review,Removed from shelves for review on basis of Rep Krause letter,Unknown,,,School ,,,Texas,North East,,,,,Unknown,,,,,,
"Belge, Kathy and Mark Bieschke",QUeer - The Ultimate LGBT Guide for Teens,,,,,Formal Challenge,Affiliation Unknown,Challenged - Location Unknown,,Retained,,,School ,,,Wisconsin,West De Pere,,,,,Unknown,,,,,,
"Sicari, Arabelle",Queer Heroes,,,,,Formal Challenge,Group,Challenged - On Shelves,Complaint Filed - status unclear,Unknown,,,School ,,,Texas,Prosper ISD,,,,,Unknown,,,,,,
"Prager, Sarah",Queer There and Everywhere,,,,,Internal Review From Library,Administration,Challenged - Removed While Under Review,Part of special library committee review outside of policy,Unknown,,,School ,,,Tennessee,Hamilton County Schools,,,HIXSON HIGH,,Unknown,,,,,,
"Prager, Sarah","Queer, There and Everywhere",,,,,Informal Challenge,Affiliation Unknown,Challenged - Removed While Under Review,RESTRICT WITH PERMISSION HS (7/2022),Retained Restricted,Yes,Requires parent permission,School ,,,Mississippi,Madison County Schools,,,,,Unknown,,,,,,
,"Queer, There and Everywhere",,,,,Administrative Review,Administration,Challenged - Location Unknown,,Unknown,,,School ,,,North Carolina,New Hanover County Schools,,,,,Unknown,,,,,,
"Prager, Sarah","Queer, there and everywhere : 23 people who changed the world",,,,,Formal Challenge,Group,Challenged - On Shelves,Complaint Filed - status unclear,Unknown,,,School ,,,Texas,Prosper ISD,,,,,Unknown,,,,,,
"Prager, Sarah","Queer, There, and Everywhere: 23 People Who Changed the World",,,,,Informal Challenge,Administration,Challenged - Removed While Under Review,"Cites Abbott's order re: ""porography in schools"" and many are books from Rep Krause letter",Retained,,,School ,,,Texas,Granbury Independent School District,,,,,Unknown,Returned to Shelves MARCH 2022,,,,,
"Belge, Kathy",Queer: The Ultimate LGBTQ Guide for Teens,,,,,Response to Law,Affiliation Unknown,Challenged - Removed While Under Review,FIVE,Returned,,,School ,,,Tennessee,Tennessee,,,,,Unknown,,,,,,
